Round,Bloon Type,Is Regrow,Is Fortified,Is Camo,Is Phayze,Count,Start Time,Duration
50,Purple,False,False,False,False,250,0,6
50,MOAB,False,True,False,False,10,5,2
50,Purple,False,False,False,False,200,7.5,2
50,Ceramic,False,True,False,False,50,7,1
51,ZOMG,False,False,False,True,1,0,0.1
51,ZOMG,False,True,False,False,1,9.5,0.1
51,ZOMG,False,True,False,False,2,19,0.1
51,DDT,False,False,False,False,50,7,1
51,DDT,False,True,False,False,12,19.5,27
51,BFB,False,False,False,False,3,12,0.5
51,BFB,False,True,False,False,3,21.5,1
52,ZOMG,False,True,False,False,10,0,7
52,MOAB,False,False,False,False,100,5,10
52,MOAB,False,True,False,False,50,6.5,8.5
52,Purple,False,False,False,False,64,6,1
52,Purple,False,False,False,False,66,12,1
52,Purple,False,False,False,False,68,18,1
53,MOAB,False,True,False,False,150,0,22
53,BFB,False,False,False,False,10,0,15
53,Lead,False,False,False,False,100,0,2.5
53,BFB,False,False,False,True,8,2.5,11.75
53,Purple,False,False,False,False,100,2.5,2.5
53,BFB,False,False,False,False,7,5,10
53,Ceramic,False,False,False,False,100,5,2.5
53,BFB,False,True,False,False,5,7.5,6.75
53,Lead,False,True,False,False,100,7.5,2.5
53,BFB,False,True,False,False,4,10,5
53,Purple,False,False,False,False,100,10,2.5
53,BFB,False,True,False,False,5,12.5,2.5
53,Ceramic,False,False,False,False,100,12.5,2.5
53,MOAB,False,False,False,False,25,18,4
54,Lead,False,True,False,False,25,0,9
54,Ceramic,False,False,False,False,100,0,4
54,BFB,False,False,False,False,30,4,3
54,Ceramic,False,True,False,False,300,7,2
55,DDT,False,False,False,False,21,0,30
55,DDT,False,False,False,False,18,5,25
55,DDT,False,False,False,False,15,10,20
55,DDT,False,True,False,False,12,15,15
55,DDT,False,True,False,False,9,20,10
55,DDT,False,True,False,False,6,25,5
55,DDT,False,False,False,False,12,33,0.5
56,Ceramic,False,True,False,False,100,0,9
56,Purple,False,False,True,False,444,1,9
56,ZOMG,False,True,False,False,10,2,5
57,ZOMG,False,False,False,False,9,0,15
57,ZOMG,False,True,False,False,10,14,10
58,ZOMG,False,False,False,False,15,0,18
58,Purple,False,False,False,False,15,0,18
58,BFB,False,False,False,False,15,0,18
58,MOAB,False,True,False,True,15,0,18
58,BFB,False,True,False,False,15,1,18
58,MOAB,False,True,False,False,15,1,18
59,BFB,False,False,False,False,25,0,36
59,DDT,False,False,False,False,9,0,12
59,DDT,False,False,False,False,9,12,10
59,DDT,False,True,False,False,6,22,8
59,DDT,False,True,False,False,6,30,6
60,ZOMG,False,False,False,False,17,0,13
60,ZOMG,False,True,False,False,9,7,6
60,ZOMG,False,False,False,False,5,16.5,2
61,BFB,False,True,False,False,27,0,20
61,DDT,False,True,False,False,21,7,13
62,MOAB,False,True,False,False,75,0,17.5
62,BFB,False,True,False,False,15,7,14
62,Ceramic,False,False,True,False,42,14,1.5
62,Ceramic,False,True,False,False,42,20,1.5
63,DDT,False,False,False,False,9,0,30
